アイスランド,"upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/125px-Flag_of_Iceland.svg.png"" decoding=""async"
アイルランド,"upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/150px-Flag_of_Ireland.svg.png"" decoding=""async"
アゼルバイジャン,"upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/150px-Flag_of_Azerbaijan.svg.png"" decoding=""async"
アフガニスタン,"upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/130px-Flag_of_Afghanistan.svg.png"" decoding=""async"
アブハジア,"upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Republic_of_Abkhazia.svg/150px-Flag_of_the_Republic_of_Abkhazia.svg.png"" decoding=""async"
アメリカ合衆国,"upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/146px-Flag_of_the_United_States.svg.png"" decoding=""async"
アラブ首長国連邦,"upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/150px-Flag_of_the_United_Arab_Emirates.svg.png"" decoding=""async"
アルジェリア,"upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/130px-Flag_of_Algeria.svg.png"" decoding=""async"
アルゼンチン,"upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/150px-Flag_of_Argentina.svg.png"" decoding=""async"
アルツァフ共和国,"upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Artsakh.svg/150px-Flag_of_Artsakh.svg.png"" decoding=""async"
アルバニア,"upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/125px-Flag_of_Albania.svg.png"" decoding=""async"
アルメニア,"upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/150px-Flag_of_Armenia.svg.png"" decoding=""async"
アンゴラ,"upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/130px-Flag_of_Angola.svg.png"" decoding=""async"
アンティグア・バーブーダ,"upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/130px-Flag_of_Antigua_and_Barbuda.svg.png"" decoding=""async"
アンドラ,"upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/127px-Flag_of_Andorra.svg.png"" decoding=""async"
イエメン,"upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/130px-Flag_of_Yemen.svg.png"" decoding=""async"
イギリス,"upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/150px-Flag_of_the_United_Kingdom.svg.png"" decoding=""async"
イスラエル,"upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/124px-Flag_of_Israel.svg.png"" decoding=""async"
イタリア,"upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/130px-Flag_of_Italy.svg.png"" decoding=""async"
イラク,"upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/130px-Flag_of_Iraq.svg.png"" decoding=""async"
イラン,"upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/140px-Flag_of_Iran.svg.png"" decoding=""async"
インド,"upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/130px-Flag_of_India.svg.png"" decoding=""async"
インドネシア,"upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/130px-Flag_of_Indonesia.svg.png"" decoding=""async"
ウガンダ,"upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/130px-Flag_of_Uganda.svg.png"" decoding=""async"
ウクライナ,"upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/130px-Flag_of_Ukraine.svg.png"" decoding=""async"
ウズベキスタン,"upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/150px-Flag_of_Uzbekistan.svg.png"" decoding=""async"
ウルグアイ,"upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/130px-Flag_of_Uruguay.svg.png"" decoding=""async"
エクアドル,"upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/130px-Flag_of_Ecuador.svg.png"" decoding=""async"
エジプト,"upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/130px-Flag_of_Egypt.svg.png"" decoding=""async"
エストニア,"upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/133px-Flag_of_Estonia.svg.png"" decoding=""async"
エチオピア,"upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/150px-Flag_of_Ethiopia.svg.png"" decoding=""async"
エリトリア,"upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/150px-Flag_of_Eritrea.svg.png"" decoding=""async"
エルサルバドル,"upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/141px-Flag_of_El_Salvador.svg.png"" decoding=""async"
沿ドニエストル,"upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Transnistria_%28state%29.svg/150px-Flag_of_Transnistria_%28state%29.svg.png"" decoding=""async"
オーストラリア,"upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/150px-Flag_of_Australia.svg.png"" decoding=""async"
オーストリア,"upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/130px-Flag_of_Austria.svg.png"" decoding=""async"
オマーン,"upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/150px-Flag_of_Oman.svg.png"" decoding=""async"
オランダ,"upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/130px-Flag_of_the_Netherlands.svg.png"" decoding=""async"
ガーナ,"upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/130px-Flag_of_Ghana.svg.png"" decoding=""async"
カーボベルデ,"upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/137px-Flag_of_Cape_Verde.svg.png"" decoding=""async"
ガイアナ,"upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/137px-Flag_of_Guyana.svg.png"" decoding=""async"
カザフスタン,"upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/150px-Flag_of_Kazakhstan.svg.png"" decoding=""async"
カタール,"upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/169px-Flag_of_Qatar.svg.png"" decoding=""async"
カナダ,"upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Canada.svg/150px-Flag_of_Canada.svg.png"" decoding=""async"
